Accession	Sample Name	SPUID	Organism	Tax ID	Breed	BioProject
SAMN10984096	017738-0	017738-0	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984097	017738-1	017738-1	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984098	017741-0	017741-0	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984099	017741-1	017741-1	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984100	017756-0	017756-0	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984101	017756-3	017756-3	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984102	017766-0	017766-0	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984103	017766-1	017766-1	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984104	017777-0	017777-0	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984105	017777-3	017777-3	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984106	017787-0	017787-0	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984107	017787-2	017787-2	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984108	017788-0	017788-0	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984109	017788-1	017788-1	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984110	017794-0	017794-0	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984111	017794-1	017794-1	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984112	017798-0	017798-0	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984113	017798-1	017798-1	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984114	017798-1_2	017798-1_2	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984115	017833-0	017833-0	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984116	017833-1	017833-1	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984117	017834-0	017834-0	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984118	017834-2	017834-2	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984119	017834-2_2	017834-2_2	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984120	017835-0	017835-0	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984121	017835-1	017835-1	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984122	017841-0	017841-0	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984123	017841-3	017841-3	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984124	017842-0	017842-0	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984125	017842-2	017842-2	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984126	017842-2_2	017842-2_2	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984127	017855-0	017855-0	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984128	017855-1	017855-1	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984129	017855-1_2	017855-1_2	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984130	017863-0	017863-0	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984131	017863-1	017863-1	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984132	017884-0	017884-0	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984133	017884-2	017884-2	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984134	017901-0	017901-0	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984135	017901-2	017901-2	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984136	017901-2_2	017901-2_2	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984137	017906-0	017906-0	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984138	017906-1	017906-1	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984139	017911-0	017911-0	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984140	017911-1	017911-1	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984141	017911-1_2	017911-1_2	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984142	017918-0	017918-0	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984143	017918-3	017918-3	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984144	017927-0	017927-0	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984145	017927-2	017927-2	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984146	017733	017733	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984147	017748	017748	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984148	017820	017820	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984149	017824	017824	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984150	017936	017936	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984151	017939	017939	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984152	017945	017945	Gallus gallus	9031	F1 6x7	PRJNA522446
SAMN10984153	017947	017947	Gallus gallus	9031	F1 6x7	PRJNA522446
